Date,Open,High,Low,Fear Greed
2011/7/14,,,,31
2011/7/15,,,,32
2011/7/18,,,,44
2011/7/19,,,,44
2011/7/20,,,,47
2011/7/21,,,,48
2011/7/22,,,,51
2011/7/25,,,,38
2011/7/26,,,,35
2011/7/27,,,,27
2011/7/28,,,,27
2011/7/29,,,,16
2011/8/1,,,,10
2011/8/2,,,,8
2011/8/3,,,,2
2011/8/4,,,,5
2011/8/5,,,,5
2011/8/8,,,,1
2011/8/9,,,,2
2011/8/10,,,,2
2011/8/11,,,,3
2011/8/12,,,,6
2011/8/15,,,,7
2011/8/16,,,,11
2011/8/17,,,,7
2011/8/18,,,,7
2011/8/19,,,,6
2011/8/22,,,,7
2011/8/23,,,,9
2011/8/24,,,,8
2011/8/25,,,,11
2011/8/26,,,,12
2011/8/29,,,,22
2011/8/30,,,,22
2011/8/31,,,,28
2011/9/1,,,,26
2011/9/2,,,,26
2011/9/6,,,,27
2011/9/7,,,,28
2011/9/8,,,,25
2011/9/9,,,,25
2011/9/12,,,,31
2011/9/13,,,,31
2011/9/14,,,,31
2011/9/15,,,,33
2011/9/16,,,,38
2011/9/19,,,,39
2011/9/20,,,,32
2011/9/21,,,,31
2011/9/22,,,,28
2011/9/23,,,,28
2011/9/26,,,,26
2011/9/27,,,,25
2011/9/28,,,,27
2011/9/29,,,,23
2011/9/30,,,,22
2011/10/3,,,,20
2011/10/4,,,,23
2011/10/5,,,,27
2011/10/6,,,,33
2011/10/7,,,,31
2011/10/10,,,,41
2011/10/11,,,,41
2011/10/12,,,,42
2011/10/13,,,,42
2011/10/14,,,,41
2011/10/17,,,,48
2011/10/18,,,,48
2011/10/19,,,,48
2011/10/20,,,,54
2011/10/21,,,,66
2011/10/24,,,,62
2011/10/25,,,,62
2011/10/26,,,,71
2011/10/27,,,,67
2011/10/28,,,,66
2011/10/31,,,,62
2011/11/1,,,,62
2011/11/2,,,,62
2011/11/3,,,,63
2011/11/4,,,,60
2011/11/7,,,,65
2011/11/8,,,,65
2011/11/9,,,,59
2011/11/10,,,,60
2011/11/11,,,,60
2011/11/14,,,,54
2011/11/15,,,,54
2011/11/16,,,,55
2011/11/17,,,,52
2011/11/18,,,,46
2011/11/21,,,,43
2011/11/22,,,,41
2011/11/23,,,,39
2011/11/25,,,,51
2011/11/28,,,,57
2011/11/29,,,,62
2011/11/30,,,,67
2011/12/1,,,,61
2011/12/2,,,,67
2011/12/5,,,,66
2011/12/6,,,,66
2011/12/7,,,,66
2011/12/8,,,,66
2011/12/9,,,,65
2011/12/12,,,,62
2011/12/13,,,,56
2011/12/14,,,,61
2011/12/15,,,,61
2011/12/16,,,,60
2011/12/19,,,,74
2011/12/20,,,,74
2011/12/21,,,,74
2011/12/22,,,,78
2011/12/23,,,,77
2011/12/27,,,,75
2011/12/28,,,,75
2011/12/29,,,,75
2011/12/30,,,,75
2012/1/3,,,,77
2012/1/4,,,,77
2012/1/5,,,,78
2012/1/6,,,,78
2012/1/9,,,,81
2012/1/10,,,,82
2012/1/11,,,,83
2012/1/12,,,,83
2012/1/13,,,,83
2012/1/17,,,,88
2012/1/18,,,,90
2012/1/19,,,,89
2012/1/20,,,,88
2012/1/23,,,,87
2012/1/24,,,,87
2012/1/25,,,,84
2012/1/26,,,,82
2012/1/27,,,,82
2012/1/30,,,,82
2012/1/31,,,,85
2012/2/1,,,,87
2012/2/2,,,,88
2012/2/3,,,,88
2012/2/6,,,,88
2012/2/7,,,,86
2012/2/8,,,,86
2012/2/9,,,,85
2012/2/10,,,,83
2012/2/13,,,,83
2012/2/14,,,,81
2012/2/15,,,,82
2012/2/16,,,,81
2012/2/17,,,,80
2012/2/21,,,,79
2012/2/22,,,,78
2012/2/23,,,,79
2012/2/24,,,,79
2012/2/27,,,,75
2012/2/28,,,,75
2012/2/29,,,,72
2012/3/1,,,,70
2012/3/2,,,,68
2012/3/5,,,,66
2012/3/6,,,,63
2012/3/7,,,,62
2012/3/8,,,,63
2012/3/9,,,,70
2012/3/12,,,,74
2012/3/13,,,,79
2012/3/14,,,,79
2012/3/15,,,,79
2012/3/16,,,,77
2012/3/19,,,,73
2012/3/20,,,,73
2012/3/21,,,,71
2012/3/22,,,,66
2012/3/23,,,,71
2012/3/26,,,,66
2012/3/27,,,,66
2012/3/28,,,,62
2012/3/29,,,,62
2012/3/30,,,,63
2012/4/2,,,,63
2012/4/3,,,,61
2012/4/4,,,,63
2012/4/5,,,,55
2012/4/9,,,,46
2012/4/10,,,,39
2012/4/11,,,,39
2012/4/12,,,,38
2012/4/13,,,,38
2012/4/16,,,,37
2012/4/17,,,,37
2012/4/18,,,,36
2012/4/19,,,,35
2012/4/20,,,,35
2012/4/23,,,,34
2012/4/24,,,,34
2012/4/25,,,,38
2012/4/26,,,,40
2012/4/27,,,,41
2012/4/30,,,,43
2012/5/1,,,,42
2012/5/2,,,,42
2012/5/3,,,,41
2012/5/4,,,,41
2012/5/7,,,,38
2012/5/8,,,,32
2012/5/9,,,,32
2012/5/10,,,,32
2012/5/11,,,,25
2012/5/14,,,,23
2012/5/15,,,,20
2012/5/16,,,,14
2012/5/17,,,,12
2012/5/18,,,,12
2012/5/21,,,,16
2012/5/22,,,,15
2012/5/23,,,,15
2012/5/24,,,,14
2012/5/25,,,,13
2012/5/29,,,,14
2012/5/30,,,,12
2012/5/31,,,,10
2012/6/1,,,,10
2012/6/4,,,,14
2012/6/5,,,,14
2012/6/6,,,,15
2012/6/7,,,,16
2012/6/8,,,,19
2012/6/11,,,,20
2012/6/12,,,,22
2012/6/13,,,,19
2012/6/14,,,,27
2012/6/15,,,,35
2012/6/18,,,,36
2012/6/19,,,,36
2012/6/20,,,,36
2012/6/21,,,,33
2012/6/22,,,,33
2012/6/25,,,,39
2012/6/26,,,,41
2012/6/27,,,,41
2012/6/28,,,,48
2012/6/29,,,,53
2012/7/2,,,,56
2012/7/3,,,,59
2012/7/5,,,,55
2012/7/6,,,,51
2012/7/9,,,,46
2012/7/10,,,,48
2012/7/11,,,,44
2012/7/12,,,,44
2012/7/13,,,,45
2012/7/16,,,,48
2012/7/17,,,,52
2012/7/18,,,,52
2012/7/19,,,,51
2012/7/20,,,,51
2012/7/23,,,,47
2012/7/24,,,,41
2012/7/25,,,,51
2012/7/26,,,,55
2012/7/27,,,,61
2012/7/30,,,,57
2012/7/31,,,,55
2012/8/1,,,,55
2012/8/2,,,,49
2012/8/3,,,,63
2012/8/6,,,,71
2012/8/7,,,,70
2012/8/8,,,,73
2012/8/9,,,,75
2012/8/10,,,,70
2012/8/13,,,,75
2012/8/14,,,,74
2012/8/15,,,,72
2012/8/16,,,,78
2012/8/17,,,,79
2012/8/20,,,,75
2012/8/21,,,,74
2012/8/22,,,,74
2012/8/23,,,,72
2012/8/24,,,,70
2012/8/27,,,,68
2012/8/28,,,,68
2012/8/29,,,,63
2012/8/30,,,,63
2012/8/31,,,,59
2012/9/4,,,,71
2012/9/5,,,,74
2012/9/6,,,,76
2012/9/7,,,,83
2012/9/10,,,,78
2012/9/11,,,,86
2012/9/12,,,,84
2012/9/13,,,,91
2012/9/14,,,,93
2012/9/17,,,,92
2012/9/18,,,,92
2012/9/19,,,,92
2012/9/20,,,,93
2012/9/21,,,,93
2012/9/24,,,,81
2012/9/25,,,,81
2012/9/26,,,,70
2012/9/27,,,,76
2012/9/28,,,,71
2012/10/1,,,,72
2012/10/2,,,,75
2012/10/3,,,,76
2012/10/4,,,,77
2012/10/5,,,,78
2012/10/8,,,,72
2012/10/9,,,,66
2012/10/10,,,,59
2012/10/11,,,,56
2012/10/12,,,,56
2012/10/15,,,,54
2012/10/16,,,,63
2012/10/17,,,,61
2012/10/18,,,,53
2012/10/19,,,,56
2012/10/22,,,,56
2012/10/23,,,,42
2012/10/24,,,,45
2012/10/25,,,,41
2012/10/26,,,,40
2012/10/31,,,,45
2012/11/1,,,,50
2012/11/2,,,,50
2012/11/5,,,,46
2012/11/6,,,,47
2012/11/7,,,,45
2012/11/8,,,,40
2012/11/9,,,,39
2012/11/12,,,,35
2012/11/13,,,,37
2012/11/14,,,,31
2012/11/15,,,,28
2012/11/16,,,,28
2012/11/19,,,,38
2012/11/20,,,,42
2012/11/21,,,,39
2012/11/23,,,,47
2012/11/26,,,,47
2012/11/27,,,,49
2012/11/28,,,,49
2012/11/29,,,,52
2012/11/30,,,,50
2012/12/3,,,,45
2012/12/4,,,,45
2012/12/5,,,,45
2012/12/6,,,,45
2012/12/7,,,,51
2012/12/10,,,,55
2012/12/11,,,,55
2012/12/12,,,,58
2012/12/13,,,,60
2012/12/14,,,,57
2012/12/17,,,,64
2012/12/18,,,,67
2012/12/19,,,,64
2012/12/20,,,,59
2012/12/21,,,,56
2012/12/24,,,,51
2012/12/26,,,,58
2012/12/27,,,,58
2012/12/28,,,,66
2012/12/31,,,,66
2013/1/2,,,,68
2013/1/3,,,,69
2013/1/4,,,,82
2013/1/7,,,,82
2013/1/8,,,,80
2013/1/9,,,,81
2013/1/10,,,,85
2013/1/11,,,,85
2013/1/14,,,,86
2013/1/15,,,,89
2013/1/16,,,,85
2013/1/17,,,,86
2013/1/18,,,,89
2013/1/22,,,,89
2013/1/23,,,,92
2013/1/24,,,,92
2013/1/25,,,,91
2013/1/28,,,,93
2013/1/29,,,,94
2013/1/30,,,,93
2013/1/31,,,,89
2013/2/1,,,,88
2013/2/4,,,,80
2013/2/5,,,,88
2013/2/6,,,,81
2013/2/7,,,,85
2013/2/8,,,,83
2013/2/11,,,,82
2013/2/12,,,,82
2013/2/13,,,,83
2013/2/14,,,,87
2013/2/15,,,,84
2013/2/19,,,,81
2013/2/20,,,,79
2013/2/21,,,,68
2013/2/22,,,,78
2013/2/25,,,,62
2013/2/26,,,,61
2013/2/27,,,,56
2013/2/28,,,,61
2013/3/1,,,,60
2013/3/4,,,,60
2013/3/5,,,,71
2013/3/6,,,,69
2013/3/7,,,,73
2013/3/8,,,,82
2013/3/11,,,,79
2013/3/12,,,,77
2013/3/13,,,,77
2013/3/14,,,,79
2013/3/15,,,,77
2013/3/18,,,,70
2013/3/19,,,,73
2013/3/20,,,,69
2013/3/21,,,,69
2013/3/22,,,,69
2013/3/25,,,,70
2013/3/26,,,,68
2013/3/27,,,,70
2013/3/28,,,,72
2013/4/1,,,,63
2013/4/2,,,,63
2013/4/3,,,,59
2013/4/4,,,,55
2013/4/5,,,,52
2013/4/8,,,,53
2013/4/9,,,,56
2013/4/10,,,,56
2013/4/11,,,,57
2013/4/12,,,,57
2013/4/15,,,,41
2013/4/16,,,,52
2013/4/17,,,,47
2013/4/18,,,,35
2013/4/19,,,,41
2013/4/22,,,,42
2013/4/23,,,,46
2013/4/24,,,,48
2013/4/25,,,,53
2013/4/26,,,,53
2013/4/29,,,,60
2013/4/30,,,,61
2013/5/1,,,,62
2013/5/2,,,,63
2013/5/3,,,,64
2013/5/6,,,,73
2013/5/7,,,,78
2013/5/8,,,,77
2013/5/9,,,,76
2013/5/10,,,,77
2013/5/13,,,,80
2013/5/14,,,,86
2013/5/15,,,,87
2013/5/16,,,,85
2013/5/17,,,,91
2013/5/20,,,,83
2013/5/21,,,,83
2013/5/22,,,,83
2013/5/23,,,,80
2013/5/24,,,,75
2013/5/28,,,,67
2013/5/29,,,,66
2013/5/30,,,,72
2013/5/31,,,,60
2013/6/3,,,,55
2013/6/4,,,,48
2013/6/5,,,,32
2013/6/6,,,,34
2013/6/7,,,,40
2013/6/10,,,,34
2013/6/11,,,,31
2013/6/12,,,,30
2013/6/13,,,,30
2013/6/14,,,,29
2013/6/17,,,,24
2013/6/18,,,,24
2013/6/19,,,,21
2013/6/20,,,,19
2013/6/21,,,,19
2013/6/24,,,,18
2013/6/25,,,,19
2013/6/26,,,,20
2013/6/27,,,,21
2013/6/28,,,,22
2013/7/1,,,,25
2013/7/2,,,,29
2013/7/3,,,,30
2013/7/5,,,,38
2013/7/8,,,,40
2013/7/9,,,,48
2013/7/10,,,,49
2013/7/11,,,,51
2013/7/12,,,,61
2013/7/15,,,,60
2013/7/16,,,,62
2013/7/17,,,,57
2013/7/18,,,,62
2013/7/19,,,,68
2013/7/22,,,,63
2013/7/23,,,,65
2013/7/24,,,,64
2013/7/25,,,,62
2013/7/26,,,,64
2013/7/29,,,,59
2013/7/30,,,,62
2013/7/31,,,,61
2013/8/1,,,,68
2013/8/2,,,,62
2013/8/5,,,,61
2013/8/6,,,,54
2013/8/7,,,,47
2013/8/8,,,,52
2013/8/9,,,,44
2013/8/12,,,,50
2013/8/13,,,,50
2013/8/14,,,,46
2013/8/15,,,,43
2013/8/16,,,,39
2013/8/19,,,,32
2013/8/20,,,,26
2013/8/21,,,,26
2013/8/22,,,,32
2013/8/23,,,,27
2013/8/26,,,,25
2013/8/27,,,,18
2013/8/28,,,,24
2013/8/29,,,,23
2013/8/30,,,,20
2013/9/3,,,,17
2013/9/4,,,,28
2013/9/5,,,,33
2013/9/6,,,,36
2013/9/9,,,,43
2013/9/10,,,,52
2013/9/11,,,,47
2013/9/12,,,,46
2013/9/13,,,,48
2013/9/16,,,,50
2013/9/17,,,,54
2013/9/18,,,,56
2013/9/19,,,,62
2013/9/20,,,,57
2013/9/23,,,,49
2013/9/24,,,,48
2013/9/25,,,,47
2013/9/26,,,,39
2013/9/27,,,,41
2013/9/30,,,,35
2013/10/1,,,,40
2013/10/2,,,,35
2013/10/3,,,,29
2013/10/4,,,,34
2013/10/7,,,,27
2013/10/8,,,,20
2013/10/9,,,,29
2013/10/10,,,,35
2013/10/11,,,,31
2013/10/14,,,,39
2013/10/15,,,,39
2013/10/16,,,,46
2013/10/17,,,,48
2013/10/18,,,,56
2013/10/21,,,,53
2013/10/22,,,,55
2013/10/23,,,,61
2013/10/24,,,,62
2013/10/25,,,,62
2013/10/28,,,,64
2013/10/29,,,,64
2013/10/30,,,,64
2013/10/31,,,,66
2013/11/1,,,,67
2013/11/4,,,,68
2013/11/5,,,,68
2013/11/6,,,,68
2013/11/7,,,,68
2013/11/8,,,,68
2013/11/11,,,,67
2013/11/12,,,,69
2013/11/13,,,,70
2013/11/14,,,,70
2013/11/15,,,,71
2013/11/18,,,,71
2013/11/19,,,,67
2013/11/20,,,,68
2013/11/21,,,,68
2013/11/22,,,,68
2013/11/25,,,,66
2013/11/26,,,,64
2013/11/27,,,,67
2013/11/29,,,,70
2013/12/2,,,,66
2013/12/3,,,,65
2013/12/4,,,,65
2013/12/5,,,,57
2013/12/6,,,,63
2013/12/9,,,,53
2013/12/10,,,,52
2013/12/11,,,,51
2013/12/12,,,,43
2013/12/13,,,,38
2013/12/16,,,,45
2013/12/17,,,,38
2013/12/18,,,,49
2013/12/19,,,,50
2013/12/20,,,,52
2013/12/23,,,,61
2013/12/24,,,,66
2013/12/26,,,,63
2013/12/27,,,,72
2013/12/30,,,,70
2013/12/31,,,,77
2014/1/2,,,,71
2014/1/3,,,,66
2014/1/6,,,,64
2014/1/7,,,,67
2014/1/8,,,,64
2014/1/9,,,,68
2014/1/10,,,,66
2014/1/13,,,,61
2014/1/14,,,,68
2014/1/15,,,,65
2014/1/16,,,,63
2014/1/17,,,,59
2014/1/21,,,,62
2014/1/22,,,,45
2014/1/23,,,,46
2014/1/24,,,,27
2014/1/27,,,,25
2014/1/28,,,,29
2014/1/29,,,,20
2014/1/30,,,,18
2014/1/31,,,,20
2014/2/3,,,,13
2014/2/4,,,,15
2014/2/5,,,,20
2014/2/6,,,,17
2014/2/7,,,,22
2014/2/10,,,,28
2014/2/11,,,,29
2014/2/12,,,,32
2014/2/13,,,,32
2014/2/14,,,,30
2014/2/18,,,,42
2014/2/19,,,,39
2014/2/20,,,,45
2014/2/21,,,,48
2014/2/24,,,,55
2014/2/25,,,,57
2014/2/26,,,,58
2014/2/27,,,,62
2014/2/28,,,,56
2014/3/3,,,,63
2014/3/4,,,,66
2014/3/5,,,,78
2014/3/6,,,,80
2014/3/7,,,,81
2014/3/10,,,,81
2014/3/11,,,,76
2014/3/12,,,,57
2014/3/13,,,,49
2014/3/14,,,,44
2014/3/17,,,,49
2014/3/18,,,,51
2014/3/19,,,,53
2014/3/20,,,,54
2014/3/21,,,,56
2014/3/24,,,,49
2014/3/25,,,,43
2014/3/26,,,,43
2014/3/27,,,,34
2014/3/28,,,,36
2014/3/31,,,,50
2014/4/1,,,,51
2014/4/2,,,,53
2014/4/3,,,,51
2014/4/4,,,,49
2014/4/7,,,,35
2014/4/8,,,,34
2014/4/9,,,,31
2014/4/10,,,,31
2014/4/11,,,,21
2014/4/14,,,,23
2014/4/15,,,,23
2014/4/16,,,,28
2014/4/17,,,,28
2014/4/21,,,,38
2014/4/22,,,,40
2014/4/23,,,,40
2014/4/24,,,,39
2014/4/25,,,,35
2014/4/28,,,,34
2014/4/29,,,,34
2014/4/30,,,,33
2014/5/1,,,,30
2014/5/2,,,,32
2014/5/5,,,,34
2014/5/6,,,,34
2014/5/7,,,,33
2014/5/8,,,,33
2014/5/9,,,,42
2014/5/12,,,,45
2014/5/13,,,,39
2014/5/14,,,,38
2014/5/15,,,,28
2014/5/16,,,,28
2014/5/19,,,,26
2014/5/20,,,,21
2014/5/21,,,,29
2014/5/22,,,,36
2014/5/23,,,,37
2014/5/27,,,,40
2014/5/28,,,,42
2014/5/29,,,,42
2014/5/30,,,,45
2014/6/2,,,,58
2014/6/3,,,,66
2014/6/4,,,,66
2014/6/5,,,,81
2014/6/6,,,,81
2014/6/9,,,,89
2014/6/10,,,,90
2014/6/11,,,,88
2014/6/12,,,,83
2014/6/13,,,,85
2014/6/16,,,,87
2014/6/17,,,,88
2014/6/18,,,,94
2014/6/19,,,,95
2014/6/20,,,,95
2014/6/23,,,,93
2014/6/24,,,,83
2014/6/25,,,,83
2014/6/26,,,,77
2014/6/27,,,,76
2014/6/30,,,,87
2014/7/1,,,,87
2014/7/2,,,,87
2014/7/3,,,,86
2014/7/7,,,,68
2014/7/8,,,,74
2014/7/9,,,,62
2014/7/10,,,,56
2014/7/11,,,,57
2014/7/14,,,,59
2014/7/15,,,,56
2014/7/16,,,,55
2014/7/17,,,,32
2014/7/18,,,,46
2014/7/21,,,,37
2014/7/22,,,,38
2014/7/23,,,,39
2014/7/24,,,,42
2014/7/25,,,,34
2014/7/28,,,,34
2014/7/29,,,,31
2014/7/30,,,,26
2014/7/31,,,,10
2014/8/1,,,,5
2014/8/4,,,,5
2014/8/5,,,,5
2014/8/6,,,,5
2014/8/7,,,,5
2014/8/8,,,,10
2014/8/11,,,,7
2014/8/12,,,,8
2014/8/13,,,,13
2014/8/14,,,,16
2014/8/15,,,,14
2014/8/18,,,,26
2014/8/19,,,,31
2014/8/20,,,,37
2014/8/21,,,,36
2014/8/22,,,,37
2014/8/25,,,,35
2014/8/26,,,,36
2014/8/27,,,,33
2014/8/28,,,,33
2014/8/29,,,,41
2014/9/2,,,,48
2014/9/3,,,,48
2014/9/4,,,,47
2014/9/5,,,,50
2014/9/8,,,,47
2014/9/9,,,,42
2014/9/10,,,,45
2014/9/11,,,,44
2014/9/12,,,,43
2014/9/15,,,,38
2014/9/16,,,,37
2014/9/17,,,,42
2014/9/18,,,,37
2014/9/19,,,,36
2014/9/22,,,,22
2014/9/23,,,,18
2014/9/24,,,,17
2014/9/25,,,,8
2014/9/26,,,,13
2014/9/29,,,,11
2014/9/30,,,,12
2014/10/1,,,,7
2014/10/2,,,,3
2014/10/3,,,,5
2014/10/6,,,,5
2014/10/7,,,,6
2014/10/8,,,,4
2014/10/9,,,,3
2014/10/10,,,,1
2014/10/13,,,,0
2014/10/14,,,,2
2014/10/15,,,,1
2014/10/16,,,,2
2014/10/17,,,,7
2014/10/20,,,,5
2014/10/21,,,,7
2014/10/22,,,,8
2014/10/23,,,,11
2014/10/24,,,,13
2014/10/27,,,,16
2014/10/28,,,,21
2014/10/29,,,,25
2014/10/30,,,,31
2014/10/31,,,,32
2014/11/3,,,,40
2014/11/4,,,,40
2014/11/5,,,,49
2014/11/6,,,,49
2014/11/7,,,,55
2014/11/10,,,,57
2014/11/11,,,,58
2014/11/12,,,,56
2014/11/13,,,,54
2014/11/14,,,,53
2014/11/17,,,,53
2014/11/18,,,,54
2014/11/19,,,,55
2014/11/20,,,,59
2014/11/21,,,,59
2014/11/24,,,,62
2014/11/25,,,,62
2014/11/26,,,,63
2014/11/28,,,,59
2014/12/1,,,,55
2014/12/2,,,,55
2014/12/3,,,,59
2014/12/4,,,,59
2014/12/5,,,,61
2014/12/8,,,,55
2014/12/9,,,,46
2014/12/10,,,,41
2014/12/11,,,,37
2014/12/12,,,,31
2014/12/15,,,,22
2014/12/16,,,,19
2014/12/17,,,,21
2014/12/18,,,,33
2014/12/19,,,,33
2014/12/22,,,,43
2014/12/23,,,,45
2014/12/24,,,,47
2014/12/26,,,,48
2014/12/29,,,,47
2014/12/30,,,,47
2014/12/31,,,,45
2015/1/2,,,,37
2015/1/5,,,,30
2015/1/6,,,,21
2015/1/7,,,,21
2015/1/8,,,,28
2015/1/9,,,,29
2015/1/12,,,,30
2015/1/13,,,,29
2015/1/14,,,,30
2015/1/15,,,,30
2015/1/16,,,,26
2015/1/20,,,,25
2015/1/21,,,,28
2015/1/22,,,,32
2015/1/23,,,,31
2015/1/26,,,,28
2015/1/27,,,,28
2015/1/28,,,,26
2015/1/29,,,,26
2015/1/30,,,,25
2015/2/2,,,,30
2015/2/3,,,,46
2015/2/4,,,,42
2015/2/5,,,,50
2015/2/6,,,,52
2015/2/9,,,,52
2015/2/10,,,,54
2015/2/11,,,,61
2015/2/12,,,,64
2015/2/13,,,,73
2015/2/17,,,,77
2015/2/18,,,,79
2015/2/19,,,,77
2015/2/20,,,,80
2015/2/23,,,,77
2015/2/24,,,,75
2015/2/25,,,,77
2015/2/26,,,,78
2015/2/27,,,,74
2015/3/2,,,,74
2015/3/3,,,,66
2015/3/4,,,,66
2015/3/5,,,,65
2015/3/6,,,,58
2015/3/9,,,,58
2015/3/10,,,,52
2015/3/11,,,,44
2015/3/12,,,,46
2015/3/13,,,,39
2015/3/16,,,,42
2015/3/17,,,,40
2015/3/18,,,,39
2015/3/19,,,,43
2015/3/20,,,,43
2015/3/23,,,,48
2015/3/24,,,,44
2015/3/25,,,,44
2015/3/26,,,,37
2015/3/27,,,,36
2015/3/30,,,,37
2015/3/31,,,,37
2015/4/1,,,,35
2015/4/2,,,,40
2015/4/6,,,,43
2015/4/7,,,,48
2015/4/8,,,,48
2015/4/9,,,,56
2015/4/10,,,,56
2015/4/13,,,,60
2015/4/14,,,,60
2015/4/15,,,,60
2015/4/16,,,,57
2015/4/17,,,,57
2015/4/20,,,,55
2015/4/21,,,,59
2015/4/22,,,,59
2015/4/23,,,,64
2015/4/24,,,,66
2015/4/27,,,,59
2015/4/28,,,,61
2015/4/29,,,,61
2015/4/30,,,,53
2015/5/1,,,,61
2015/5/4,,,,61
2015/5/5,,,,58
2015/5/6,,,,58
2015/5/7,,,,53
2015/5/8,,,,58
2015/5/11,,,,53
2015/5/12,,,,49
2015/5/13,,,,55
2015/5/14,,,,57
2015/5/15,,,,57
2015/5/18,,,,62
2015/5/19,,,,62
2015/5/20,,,,64
2015/5/21,,,,64
2015/5/22,,,,60
2015/5/26,,,,50
2015/5/27,,,,47
2015/5/28,,,,47
2015/5/29,,,,43
2015/6/1,,,,40
2015/6/2,,,,43
2015/6/3,,,,45
2015/6/4,,,,44
2015/6/5,,,,40
2015/6/8,,,,36
2015/6/9,,,,36
2015/6/10,,,,37
2015/6/11,,,,41
2015/6/12,,,,30
2015/6/15,,,,26
2015/6/16,,,,27
2015/6/17,,,,26
2015/6/18,,,,34
2015/6/19,,,,30
2015/6/22,,,,42
2015/6/23,,,,49
2015/6/24,,,,36
2015/6/25,,,,34
2015/6/26,,,,33
2015/6/29,,,,8
2015/6/30,,,,11
2015/7/1,,,,18
2015/7/2,,,,16
2015/7/6,,,,13
2015/7/7,,,,13
2015/7/8,,,,9
2015/7/9,,,,12
2015/7/10,,,,14
2015/7/13,,,,24
2015/7/14,,,,24
2015/7/15,,,,30
2015/7/16,,,,30
2015/7/17,,,,34
2015/7/20,,,,34
2015/7/21,,,,25
2015/7/22,,,,20
2015/7/23,,,,15
2015/7/24,,,,15
2015/7/27,,,,7
2015/7/28,,,,17
2015/7/29,,,,21
2015/7/30,,,,21
2015/7/31,,,,20
2015/8/3,,,,24
2015/8/4,,,,28
2015/8/5,,,,21
2015/8/6,,,,18
2015/8/7,,,,10
2015/8/10,,,,9
2015/8/11,,,,12
2015/8/12,,,,9
2015/8/13,,,,11
2015/8/14,,,,11
2015/8/17,,,,14
